,E,flux
748,9.902090e-01,2.017332e+19
749,9.913991e-01,2.019230e+19
750,9.925893e-01,2.020828e+19
751,9.937794e-01,2.022702e+19
752,9.949695e-01,2.023763e+19
753,9.961596e-01,2.023688e+19
754,9.973497e-01,2.024280e+19
755,9.985399e-01,2.025495e+19
756,9.997300e-01,2.026343e+19
757,1.000920e+00,2.026538e+19
758,1.002110e+00,2.026373e+19
759,1.003300e+00,2.026096e+19
760,1.004490e+00,2.026014e+19
761,1.005681e+00,2.026182e+19
762,1.006871e+00,2.026136e+19
763,1.008061e+00,2.026527e+19
764,1.009251e+00,2.027115e+19
765,1.010441e+00,2.028078e+19
766,1.011631e+00,2.030152e+19
767,1.012821e+00,2.033143e+19
768,1.014011e+00,2.037838e+19
769,1.015202e+00,2.045928e+19
770,1.016392e+00,2.060970e+19
771,1.017582e+00,2.087594e+19
772,1.018772e+00,2.144375e+19
773,1.019962e+00,2.314169e+19
774,1.021152e+00,2.265377e+19
775,1.022342e+00,2.148694e+19
