,kev,events_per_day
637,9.56456,0.0002
638,9.57958,0.0002
639,9.59459,0.0002
640,9.60961,0.0002
641,9.62462,0.0002
642,9.63964,0.0002
643,9.65465,0.0002
644,9.66967,0.0002
645,9.68468,0.0002
646,9.6997,0.0002
647,9.71471,0.0002
648,9.72973,0.0002
649,9.74474,0.0002
650,9.75976,0.0002
651,9.77477,0.0002
652,9.78979,0.0002
653,9.8048,0.0002
654,9.81982,0.0002
655,9.83483,0.0002
656,9.84985,0.0002
657,9.86486,0.0002
658,9.87988,0.0002
659,9.89489,0.0002
660,9.90991,0.0002
661,9.92492,0.0002
662,9.93994,0.0002
663,9.95495,0.0002
664,9.96997,0.0002
665,9.98498,0.0002
666,10,0.0002
667,10.015,0.0002
668,10.03,0.0002
669,10.045,0.0002
670,10.0601,0.0002
671,10.0751,0.0002
672,10.0901,0.0002
673,10.1051,0.0002
674,10.1201,0.0002
675,10.1351,0.0002
676,10.1502,0.0002
677,10.1652,0.0002
678,10.1802,0.0002
679,10.1952,0.0002
680,10.2102,0.0002
681,10.2252,0.0002
682,10.2402,0.0002
683,10.2553,0.0002
684,10.2703,0.0002
685,10.2853,0.0002
686,10.3003,0.0002
687,10.3153,0.0002
688,10.3303,0.0002
689,10.3453,0.0002
690,10.3604,0.0002
691,10.3754,0.0002
692,10.3904,0.0002
693,10.4054,0.0002
694,10.4204,0.0002
695,10.4354,0.0002
696,10.4505,0.0002
697,10.4655,0.0002
698,10.4805,0.0002
699,10.4955,0.0002
700,10.5105,0.0002
701,10.5255,0.0002
702,10.5405,0.0002
703,10.5556,0.0002
704,10.5706,0.0002
705,10.5856,0.0002
706,10.6006,0.0002
707,10.6156,0.0002
708,10.6306,0.0002
709,10.6456,0.0002
710,10.6607,0.0002
711,10.6757,0.0002
712,10.6907,0.0002
713,10.7057,0.0002
714,10.7207,0.0002
715,10.7357,0.0002
716,10.7508,0.0002
717,10.7658,0.0002
718,10.7808,0.0002
719,10.7958,0.0002
720,10.8108,0.0002
721,10.8258,0.0002
722,10.8408,0.0002
723,10.8559,0.0002
724,10.8709,0.0002
725,10.8859,0.0002
726,10.9009,0.0002
727,10.9159,0.0002
728,10.9309,0.0002
729,10.9459,0.0002
730,10.961,0.0002
731,10.976,0.0002
732,10.991,0.0002
733,11.006,0.0002
734,11.021,0.0002
735,11.036,0.0002
736,11.0511,0.0002
737,11.0661,0.0002
738,11.0811,0.0002
739,11.0961,0.0002
740,11.1111,0.0002
741,11.1261,0.0002
742,11.1411,0.0002
743,11.1562,0.0002
744,11.1712,0.0002
745,11.1862,0.0002
746,11.2012,0.0002
747,11.2162,0.0002
748,11.2312,0.0002
749,11.2462,0.0002
750,11.2613,0.0002
751,11.2763,0.0002
752,11.2913,0.0002
753,11.3063,0.0002
754,11.3213,0.0002
755,11.3363,0.0002
756,11.3514,0.0002
757,11.3664,0.0002
758,11.3814,0.0002
759,11.3964,0.0002
760,11.4114,0.0002
761,11.4264,0.0002
762,11.4414,0.0002
763,11.4565,0.0002
764,11.4715,0.0002
765,11.4865,0.0002
766,11.5015,0.0002
767,11.5165,0.0002
768,11.5315,0.0002
769,11.5465,0.0002
770,11.5616,0.0002
771,11.5766,0.0002
772,11.5916,0.0002
773,11.6066,0.0002
774,11.6216,0.0002
775,11.6366,0.0002
776,11.6517,0.0002
777,11.6667,0.0002
778,11.6817,0.0002
779,11.6967,0.0002
780,11.7117,0.0002
781,11.7267,0.0002
782,11.7417,0.0002
783,11.7568,0.0002
784,11.7718,0.0002
785,11.7868,0.0002
786,11.8018,0.0002
787,11.8168,0.0002
788,11.8318,0.0002
789,11.8468,0.0002
790,11.8619,0.0002
791,11.8769,0.0002
792,11.8919,0.0002
793,11.9069,0.0002
794,11.9219,0.0002
795,11.9369,0.0002
796,11.952,0.0002
797,11.967,0.0002
798,11.982,0.0002
799,11.997,0.0002
800,12.012,0.0002
801,12.027,0.0002
802,12.042,0.0002
803,12.0571,0.0002
804,12.0721,0.0002
805,12.0871,0.0002
806,12.1021,0.0002
807,12.1171,0.0002
808,12.1321,0.0002
809,12.1471,0.0002
810,12.1622,0.0002
811,12.1772,0.0002
812,12.1922,0.0002
813,12.2072,0.0002
814,12.2222,0.0002
815,12.2372,0.0002
816,12.2523,0.0002
817,12.2673,0.0002
818,12.2823,0.0002
819,12.2973,0.0002
820,12.3123,0.0002
821,12.3273,0.0002
822,12.3423,0.0002
823,12.3574,0.0002
824,12.3724,0.0002
825,12.3874,0.0002
826,12.4024,0.0002
827,12.4174,0.0002
828,12.4324,0.0002
829,12.4474,0.0002
830,12.4625,0.0002
831,12.4775,0.0002
832,12.4925,0.0002
833,12.5075,0.0002
834,12.5225,0.0002
835,12.5375,0.0002
836,12.5526,0.0002
837,12.5676,0.0002
838,12.5826,0.0002
839,12.5976,0.0002
840,12.6126,0.0002
841,12.6276,0.0002
842,12.6426,0.0002
843,12.6577,0.0002
844,12.6727,0.0002
845,12.6877,0.0002
846,12.7027,0.0002
847,12.7177,0.0002
848,12.7327,0.0002
849,12.7477,0.0002
850,12.7628,0.0002
851,12.7778,0.0002
852,12.7928,0.0002
853,12.8078,0.0002
854,12.8228,0.0002
855,12.8378,0.0002
856,12.8529,0.0002
857,12.8679,0.0002
858,12.8829,0.0002
859,12.8979,0.0002
860,12.9129,0.0002
861,12.9279,0.0002
862,12.9429,0.0002
863,12.958,0.0002
864,12.973,0.0002
865,12.988,0.0002
866,13.003,0.0002
867,13.018,0.0002
868,13.033,0.0002
869,13.048,0.0002
870,13.0631,0.0002
871,13.0781,0.0002
872,13.0931,0.0002
873,13.1081,0.0002
874,13.1231,0.0002
875,13.1381,0.0002
876,13.1532,0.0002
877,13.1682,0.0002
878,13.1832,0.0002
879,13.1982,0.0002
880,13.2132,0.0002
881,13.2282,0.0002
882,13.2432,0.0002
883,13.2583,0.0002
884,13.2733,0.0002
885,13.2883,0.0002
886,13.3033,0.0002
887,13.3183,0.0002
888,13.3333,0.0002
889,13.3483,0.0002
890,13.3634,0.0002
891,13.3784,0.0002
892,13.3934,0.0002
893,13.4084,0.0002
894,13.4234,0.0002
895,13.4384,0.0002
896,13.4535,0.0002
897,13.4685,0.0002
898,13.4835,0.0002
899,13.4985,0.0002
900,13.5135,0.0002
901,13.5285,0.0002
902,13.5435,0.0002
903,13.5586,0.0002
904,13.5736,0.0002
905,13.5886,0.0002
906,13.6036,0.0002
907,13.6186,0.0002
908,13.6336,0.0002
909,13.6486,0.0002
910,13.6637,0.0002
911,13.6787,0.0002
912,13.6937,0.0002
913,13.7087,0.0002
914,13.7237,0.0002
915,13.7387,0.0002
916,13.7538,0.0002
917,13.7688,0.0002
918,13.7838,0.0002
919,13.7988,0.0002
920,13.8138,0.0002
921,13.8288,0.0002
922,13.8438,0.0002
923,13.8589,0.0002
924,13.8739,0.0002
925,13.8889,0.0002
926,13.9039,0.0002
927,13.9189,0.0002
928,13.9339,0.0002
929,13.9489,0.0002
930,13.964,0.0002
931,13.979,0.0002
932,13.994,0.0002
933,14.009,0.0002
934,14.024,0.0002
935,14.039,0.0002
936,14.0541,0.0002
937,14.0691,0.0002
938,14.0841,0.0002
939,14.0991,0.0002
940,14.1141,0.0002
941,14.1291,0.0002
942,14.1441,0.0002
943,14.1592,0.0002
944,14.1742,0.0002
945,14.1892,0.0002
946,14.2042,0.0002
947,14.2192,0.0002
948,14.2342,0.0002
949,14.2492,0.0002
950,14.2643,0.0002
951,14.2793,0.0002
952,14.2943,0.0002
953,14.3093,0.0002
954,14.3243,0.0002
955,14.3393,0.0002
956,14.3544,0.0002
957,14.3694,0.0002
958,14.3844,0.0002
959,14.3994,0.0002
960,14.4144,0.0002
961,14.4294,0.0002
